Tom can't come in.	Tom kać bolo daea.
You'd have to be insane to do that.	Bayaoḱ tan re enaṅ ena dom paeṭiêa honaṅ.
Hello, how are you?	Chie, chilika menaḱmea endo?
India's wildlife, which has traditionally been viewed with tolerance in India's culture, is supported among these forests, and elsewhere, in protected habitats.	Traditionally do Tolerance loḱ nel aguoḱ tan India aḱ Birjivt́ ko do nen Bir ko re, anḍoḱ eṭaḱ paa raka akan Habitat ko re gekô support akana.
What do you want?	Chenaḱpe nam tana?
It will rain tonight.	Tisiṅ Nidać gamaêa.
Four major climatic groupings predominate in India: tropical wet, tropical dry, subtropical humid, and montane.	India re predominantly upunea major Climatic Grouping menaḱa: Singichirmit́ Oda (Tropical Wet), Singichirmit́ Rooh (Tropical Dry), Singichirmit́suba Losom (Subtropical Humid), anḍoḱ Montane.
Come eat!	Dola jomê ben!
Let Tom go home.	Tom Oaḱ senoḱ iriê me.
We marched.	March ket́aliń.
It's raining outside right now.	Nahḱ Raca paać gamaê tana.
These efforts were effective on beaches that were not too thickly covered in oil.	Sunum te ibil rená gedo kaa bil suba len Kuṭigitil kore do nena Paeṭić em ket́ taekena.
I can't hide.	Ukunn kań daea.
The empire was once thought to have controlled most of the subcontinent except the far south, but its core regions are now thought to have been separated by large autonomous areas.	Nen empire aḱ do far South bage keet́ goṭa noḱ subcontinent re control taekena mente menoḱ taekena, mendo nahḱ menoḱ tana, core Region ko do maparaṅ autonomous Area ko te tannga lena mente.
It'll break.	Ena raput́oḱa.
Everyone has the right to an effective remedy by the competent national tribunals for acts violating the fundamental rights granted him by the constitution or by law.	Saben ko ge, akoaḱ Rights, Obligation anḍoḱ ako chuúnḍul Criminal Charge ko chirgalsarioḱ tan re, independent anḍoḱ impartial Tribunal re, Full Equality loḱ fair anḍoḱ public Hearing namê teaḱkô tala akat́a.
The Himalayas prevent cold Central Asian katabatic winds from blowing in, keeping the bulk of the Indian subcontinent warmer than most locations at similar latitudes.	Himalayburu menaḱ te, Central Asia ren Katabatic Hoyo ko koṭoṅoḱa; ena te, bulk of Indian Subcontinent do, ena loḱ mipit́noḱ Latitude ren Location ko aeteó urgumlaaḱ gea.
I can't understand anything he's saying.	Ać kajiê teaḱ jahnaḱ kań somjaooḱ tana.
Help!	Mar á!
You don't have to eat it.	Ena kam jomê reó.
This will kill the bacteria.	Nena te Bacteria ko goćoḱa.
Do you want to help?	Dengańam?
Habitat.	Habitat.
Ziri lives in a village.	Ziri Hatu reć taena.
Bastard!	Saroa lekanić!
Like all animals, humans carry vast numbers (approximately 1013 to 1014) of bacteria.	Sanam Senêjivt́ ko leka ge, hoo ko reó sange rená ge (approximately 1013 to 1014) Bacteria ko taena.
I can shoot.	Toḍe daeań.
Boris went to another village.	Boris eṭaḱ Hatuć senoḱ eana.
For example, when starved of amino acids, myxobacteria detect surrounding cells in a process known as quorum sensing, migrate towards each other, and aggregate to form fruiting bodies up to 500 micrometres long and containing approximately 100,000 bacterial cells.	Example lekate, Amino Acid kô ringa tan re, Myxobacteria do Quorum Sensing menoḱ Process te daradari ren Jivt́okoa kokô chirgalkoa, japaḱ tekô sen idina, anḍoḱ 500 micrometer jiliṅ, approximately 100,000 Bacteria Jivt́okoa lekaoḱ Fruiting Body bain gekô hunḍina.
There are islands in the sea.	Patukam re Ḍipaòte ko menaḱa.
How did you like Boston?	Boston chilikam sukuat́a?
How do you say XXX in Dutch?	XXX, nena Dutch te chilikape menea?
Where are you from?	Ape do okon renko?
I think we'll get off at the next station.	Hućoḱ Station rele aaguna toraṅeń menea.
Tom is busy now, so he can't talk with you.	Tom nahḱ Paiṭi rića, aben loḱ kać jagar daea.
"The password is ""Muiriel""."	"Password do ""Muiriel""."
I don't wear those trousers any more because they've got a big rip in them.	Maraṅ leka chachaḱ akan te, en Trouser kań tuúsiṅa.
You are my friend.	Am ge ańaḱ Juḍi.
Duck!	Ungut́enn me!
A pioneering and influential nationalist movement emerged, which was noted for nonviolent resistance and became the major factor in ending British rule.	Nonviolent-resistance lagit́ nutuman miat́ pioneering anḍoḱ influential nationalist-movement ooḱl eana, anḍoḱ enage British rule tuúnḍu teaḱ major factor bai eana.
My son was completely bald when he was born.	Unduṕ len re ańaḱ Hon do goṭa chaḍa geć taekena.
Are you hungry?	Rengećm tana?
This is a small village.	Nena do huḍiń Hatu.
Everyone fell asleep.	Saben ko duum eana.
How old are you?	Chimin sirmam hobaoḱ tana?
Yes.	Ia.
I wonder what it sounds like.	Ena chilika toraṅ ayumoḱa.
Have you taken out the garbage?	Joboraben onḍoṅ ket́a chi?
Tom closed his eyes and thought about Mary.	Tom Met́ japit́ keet́ Mary reaḱć uḍuḱ ket́a.
Die!	Goćoḱ me!
He said that he was relaxed.	Jirao akanać menteć men ket́a.
Tom said that you were sick.	Hasuoḱ tanam -mente Tom kaji let́a.
He got to his village.	Aćaḱ Hatuć beṭa ket́a.
Death is one of two things. Either it is annihilation, and the dead have no consciousness of anything; or, as we are told, it is really a change: a migration of the soul from this place to another.	Gonoć do nen barea re miat́a: Annihilation, goć akan ko jahnaḱ reaḱ Suti Chinirgal ká taena; baredo, abu ayumat́ leka, ena sarite do Change ge: nentaḱ aete eṭaḱtaḱ tenn Rva reaḱ Sepen.
Come eat!	Ela jomê me!
Just buy Tom some candy.	Tom joka Candy kiriń noḱać me.
In order to justify its war crimes, the United States bombards and annihilates entire countries in the name of liberty and democracy. Of course, companies that sell missiles to the Pentagon, as well as mercenary companies, have very little to do with liberty and democracy. In order to have more petroleum, the American economy needs to decimate millions of lives, and these wars are also beneficial to companies that sell weapons or rent out killers.	Akoaḱ War Crime justify lagit́, United States renko Liberty anḍoḱ Democracy Nutum te goṭa-goṭa Disum kokô bombard à anḍoḱkô annihilate à. Of course, Pentagon taḱ re Missile akariṅ Company renkoaḱ ó, anḍoḱ Mercenary Company renkoaḱ ó, Liberty,, Democracy loḱ do jokoć ge Relation menaḱa. Oṛoḱ láḱ Petroleum lagit́, America aḱ Economy do million-million Jiv koć goć rasumkô enaṅ, anḍoḱ nen War ko do Weapon aákariṅ baredo Goóćko rent ê Company renko lagit́ ó beneficial gea.
Saturday Mthiyane (or Mifune) (1987), a boy of around five, was found after spending about a year in the company of monkeys in KwaZulu-Natal, South Africa.	Saturday Mthiyane (Mifune menê reó) (1987), 5 sirma lekać hobaoḱ lekan Koahon do, South Africa ren KwaZulu-Natal re mit́ sirma Gai ko loḱ taekeneet́eć nam lena.
Have you finished washing the dishes?	Bela koben gasar chaba ket́a chi?
The tall woman wears a gray suit.	En salangi Êra gray teaḱ Suit eć horoḱa.
They are abundant in lakes and oceans, in arctic ice, and geothermal springs where they provide the nutrients needed to sustain life by converting dissolved compounds, such as hydrogen sulphide and methane, to energy.	Enko do, Lake re,, Ocean re,, Arctic Ice re anḍoḱ enko te Hydrogen Sulphide,, Methane lekan leaṅ akan Compound ko energy oḱ te Jinivt́ sustain oḱ Geothermal Spring ko rekô abundant gea.
Is Tom your name?	Amaḱ Nutum Tom chi?
During the same time, its nominal per capita income increased from US$64 annually to US$2,601, and its literacy rate from 16.6% to 74%.	En time-frame rege, India aḱ nominal-per-capita-income sirma re 64 US$ aete 2,601 US$ jooṅ beṭa eana, anḍoḱ literacy-rate 16.6% aete 74% jooṅ beṭa eana.
For example, they may be unable to learn to use a toilet, have trouble learning to walk upright after walking on all fours their whole lives, or display a complete lack of interest in the human activity around them.	For example, enko Aṕenpaisenjonoṅ (toilet usage) kakô eto dae emana,, goṭa Taesirma otetí akan te ombaḱ sen keet́ Mulitingusen kakô etooḱ emana,, aka daradari ren Hoosepentipí (human activity) paa te Nelònorbaánoḱkô uduṕ emanêa.
Even though Tom understood what was going on, he pretended that he didn't.	Chenaḱ hobaoḱ tana menteaḱć munḍiê taeken reó, Tom do kaa ge lekać bainn eana.
Children like jelly babies.	Hon ko Jelly Babies kô rãasatea.
Tell me again.	anḍoḱ misa kajiań pe.
"Oxford English Dictionary (third edition 2009) lekate, ""India"" nen nutum do Classical Latin re South Asia anḍoḱ enaaḱ east ren miat́ uncertain Region iíngul India aete derive akana."	"According to the Oxford English Dictionary (third edition 2009), the name ""India"" is derived from the Classical Latin India, a reference to South Asia and an uncertain region to its east"
Do you live here?	Nenrem taena?
Tom will probably be disgusted.	Tom doć hilaṅoḱa toraṅ.
Close the door.	Silpiń hanḍet́ taa ben.
Kiss me... Hey, hey! Not that type of kiss!	Chereṕiń me... Hey, hey, Enkan Chereṕ do ká!
Major agricultural products include rice, wheat, oilseed, cotton, jute, tea, sugarcane, and potatoes.	Major Síhasa Product kodo, Chauli, Gom, Sunumoḱjaṅ, Kat́som, Jute, Tea, Sugarcane, anḍoḱ Utusanga.
Bacteria usually form colonies.	Bacteria ko usually do Colony kokô baáia.
Do you want to sleep?	Gitićaben?
Why are we running?	Chenaḱ mentebu nir tana.
One morning I shot an elephant in my pyjamas.	Musiṅg Setaḱ Gitićlijaḱ akan aete Hatiń toḍe ket́ića.
Look at this.	Neè nelê ben.
The service sector makes up 55.6% of GDP, the industrial sector 26.3% and the agricultural sector 18.1%.	GDP reaḱ 55.6% do Service Sector, 26.3% do Industrial Sector, 18.1% do Síhasa (Agriculture) Sector.
As we confront the complex challenges of our time, including the resurgence of geopolitical tensions and humanitarian crises, Algeria's example reminds us of the transformative potential of dialogue and negotiation in resolving conflicts and building inclusive societies.	Geopolitical Tanáć anḍoḱ Humanitarian Crisis reaḱ Upan Unuraa ko mesa keet́aḱ, abuaḱ Singisirma ren haaḱ paṭet́ Challange ko tebu daromoḱ tan re, Algeria aḱ Example te, Conflict ko raa tuúnḍu re, anḍoḱ inclusive Sangepai baái re, Japagar anḍoḱ Negotiation reaḱ Transformative Potential bu uḍuḱ uraa ichioḱ tana.
Who are you?	Okoe ko tanape?
We are in Paris.	Paris re menaḱbua.
I sell rice.	Chauliń aákarińa.
Let's eat.	Dolaṅ jomêa.
Close the door.	Silpiń hanḍet́ thaa me.
We surrounded the village.	Hatule eset́ biur ket́a.
Don't let him drive.	Alam har irièća.
Fadil and Layla texted back and forth.	Fadil anḍoḱ Layla tepext kupul eanakin.
Russell's books should be bound in two colours, those dealing with mathematical logic in red — and all students of philosophy should read them; those dealing with ethics and politics in blue — and no one should be allowed to read them.	Russel aḱ Sapagom ko do, barea net́ te poṭomê teaḱ, Mathematical Logic ol akanaḱ ko do araḱ te, — anḍoḱ Philosophy ren saben Student ko ena kokô paṛaoê teaḱ; Ethics anḍoḱ Politics ol akanaḱ ko do líl te, — anḍoḱ ena ko do jahć ó kakô paṛao irioḱ teaḱ.
I know.	Adaanań.
Are you in London?	London re menaḱmea chi?
Don't let anybody leave this room.	Jahć ó nen Room alam bage irikôa.
Why didn't I die?	Chenaḱ mente kań goć eana?
The critical period hypothesis was first proposed by Montreal neurologist Wilder Penfield and co-author Lamar Roberts in their 1959 book Speech and Brain Mechanisms, and was popularized by Eric Lenneberg in 1967 with Biological Foundations of Language.	"Critical Period Hypothesis do ayarùtar 1959 re akinaḱ Sapagom ""Speech and Brain Mechanisms"" re Montreal ren neurologist Wilder Penfield,, co-author Lamar Roberts tekin propose let́a, oḍoḱ 1967 ren ""Biological Foundations of Language"" loḱ Eric Lenneberg popular ket́a."
It contributes 6.5% to India's GDP.	India aḱ GDP re enaaḱ Contribution do 6.5%.
There's no reason to be afraid.	Boroê teaḱ jahn Kaji ge banoḱa.
A heron, a crab, lots of fish and other creatures used to live in a pond.	Miat́ Koḱ, miat́ Kaakom, sange Há ko, anḍoḱ eṭaḱ Jivt́ann ko miat́ Banda rekô taenn taekena.
Do you speak English?	English em jagar adaana?
Tom, this is my brother, John.	Tom, neić Bokoń John.
Do you want to play?	Inuṅape?
After World War I, in which approximately one million Indians served, a new period began.	Approximately mit́ million Indian ko serve ket́ ayaraḱ World War tayom, Nama Period eoṕ eana.
What's his name?	Nutum tać chenaḱa?
Temperatures in India have risen by 0.7 °C (1.3 °F) between 1901 and 2018.	1901-2018 tala re, India aḱ Temperature do 0.7 °C láḱ eana.
Many hospitals don’t even have an ultrasound machine to check the status of a baby, said Mandsager, the medical director of obstetrics at Mercy Medical Center in Des Moines.	Sange Hospital ko re do, Láć ren Honaḱ Status neél teaḱ Ultrasound Machine ó banoḱa, -mente, Des Moines ren Mercy Medical Center ren Obstetrics Medical Director, Mandsager kaji ket́a.
Do you want to sleep?	Gitićam?
Welcome.	Joar.
The critical period hypothesis is a theory within the field of linguistics and second language acquisition that claims a person can only achieve native-like fluency in a language before a certain age.	Critical Period Hypothesis do, jaać ge reó, miat́ language eton re, native-lekan fluency do certain age auri beṭaê regeć achieve daea menten, Linguistics,, Second Language Acquisition field ren miat́ hypothesis tana.
Smile.	Landaê me.
We are eating.	Jom tanabu.
Lift it up.	Tíṅê ben.
It's none other than him.	Eṭaḱnić do ká, ać rená ge.
All were capped by the advent of independence in 1947, but tempered by the partition of India into two states: India and Pakistan.	Saben ge 1947 re Independence reaḱ Hunujuḱ te koṭoṅ ean reó, India barea State, India,, Pakistan re haṭiń ean te temper ó temper eana.
Yet, India is also shaped by seemingly unyielding poverty, both rural and urban; by religious and caste-related violence; by Maoist-inspired Naxalite insurgencies; and by separatism in Jammu and Kashmir and in Northeast India.	Enreó, India do, unyielding ge neloḱ rural,, urban ripinga te; religious,, caste-related Violence te; Maoist koaḱ te inspire akan Naxalite insurgency ko te; Jammu anḍoḱ Kashmir,, Northeast India ren separatism ko te ó shape akana.
Apea re miat́ India aḱ Sińhita (plant species) ko do Enhasaùpanaḱ (endemic) ko ge.	Fully a third of Indian plant species are endemic.
Tom lives in the village.	Tom en Hatu reć taena.
English mother-tongue speakers are embarrassed to correctly pronounce the name of the German philosopher Kant, which is a homophone for a vulgar expression referring to the female genitals.	Kui Giniuḱ iíngul Homophone tan te, Mother-tongue do English tan Speaker ko, German Philosopher Kant aḱ Nutum correctly kaji giuḱkôa.
When his successor attempted to expand eastwards, he was defeated by the Pala king of Bengal.	Aćaḱ successor east paa teć expand lekead re Bengal ren Pala king taḱaeteć haratiṅ eana.
The Dravidian languages of India were supplanted in the northern and western regions.	India aḱ northern anḍoḱ western Region ko ren Dravidian language ko do supplant eana.
Tom had no idea that Mary was planning to stay in Australia for three more days.	Mary do Australia re anḍoḱ apé singi taen teaḱć uḍuḱ baiê tana -mente Tom ká jatić aṭkar let́a.
Why are you laughing?	Chenaḱ mentem landaê tana?
Where is your father?	Amaaḱ Baṅ okon rića?
Why are you afraid?	Chenaḱ mentem boroê tana?
Where is your father?	Amaḱ Baba okon rića?
Centred around cities such as Mohenjo-daro, Harappa, Dholavira, and Kalibangan, and relying on varied forms of subsistence, the civilisation engaged robustly in crafts production and wide-ranging trade.	Tala re Mohenjo-daro, Harappa, Dholavira, anḍoḱ Kalibangan lekan city ko taeken loḱ, epeṭaḱ lekan subsistence chetan têṅgô len taeken nen civilisation crafts-production anḍoḱ wide-ranging trade re engage len taekena.
It was raining.	Gamaê taekenać.
Where do you come from?	Aben okon renkin?
I understand.	Somjaooḱ tanań.
They called the village New Amsterdam.	Nama Hatukô New Amsterdam ket́a.
How do you say XXX in English?	XXX English te chenaḱkô metaà?
It has disputes over Kashmir with its neighbours, Pakistan and China, unresolved since the mid-20th century.	Neighbour ren Pakistan anḍoḱ China loḱ 20th century aete unresolve akan Kashmir reaḱ dispute menaḱ akat́ gea.
It is a pluralistic, multilingual and multi-ethnic society.	Nena do miat́ pluralistic, multilingual anḍoḱ multi-ethnic-society tana.
Let's dance.	Dolabu susuna.
Tom said he wanted to play tennis this morning.	Tisiṅ Setaḱ, Tom do, Tennis inuṅ sanaṅiń tanać men.
He is awake.	Evn akanać.
Instead, it balanced and pacified them through new administrative practices and diverse and inclusive ruling elites, leading to more systematic, centralised, and uniform rule.	Ensati, akô do nama administrative practice ko te anḍoḱ diverse, inclusive ruling elite koaḱ iatekô balance anḍoḱ pacify ean taekena.
You are good at literature.	Literature esu bugim adaana.
I've visited the village.	Hatuń sen akana.
She lives in a village.	Ać do miat́ Hatu reć taena.
"He had lived with wolves in a dense wooded area known as ""the Hart"" for 12 years."	The Hart kô meta ibil Bir menaḱ Area re Ṭẽoḱ ko loḱ 12 sirmać taekena.
In 1830, Algeria came under French colonial rule.	1830 re, Algeria do French Colonial Rule suba lena.
I want to know.	Chirgal sukuń tana.
What does he do?	Chenaḱć paiṭia.
Tom doesn't look much older than Mary.	Tom do Mary aete láḱ maraṅ leka kać neloḱa.
Men fight with iron for gold.	Hoo ko Samaom lagit́ Meeht́ tekô gopoća.
Don't eat too many all at once.	Misa tege ena ko alam jom láḱêa.
By 400 BCE, stratification and exclusion by caste had emerged within Hinduism, and Buddhism and Jainism had arisen, proclaiming social orders unlinked to heredity.	400 BCE loḱ do Hinduism re caste lekate Stratification anḍoḱ Exclusion nelnam eana, anḍoḱ Heredity loḱ Link banoḱ Social Order proclaim ê tan Buddhism anḍoḱ Jainism eoṕ eana.
You are my friend.	Aben ge ańaḱ Juḍi kin.
After the third quarter of 2017, India surpassed the US to become the second-largest smartphone market in the world after China.	2017 apéaḱ Quarter tayom, India do US láḱparom keet́ China tayom Otesaeaḱ baáraḱ-maraṅ Smartphone Market bai eana.The Indian automotive industry, the world's second-fastest growing, increased domestic sales by 26% during 2009–2010, and exports by 36% during 2008–2009.
I'm not home on Sundays.	Sunday Musiṅ ko Oaḱ re kań taena.
The monkeys protected him in the wild.	Bir re Gai ko raka let́ića.
Feral children who lived in isolation or with animals provided examples of this dilemma.	Tapannga re baredo Birjivt́ ko loḱ taeken Birbagehon ko en Dilemma ren Example lekakô taekena.
He dressed up as a woman.	Era lekać Lijaḱ eana.
Come dance!	Dola susun ben!
Where am I from?	Okon aeteńa?
Not on my watch!	Ań menaḱ jooṅ do kaa!
Does Mary take care of you or do you take care of her?	Mary ameć nela chi am aćem nela?
My sister has ginger hair.	Unḍińkuiaḱ Bohḱbale araḱ chambara gea.
Look here.	Nepaa nelê me.
In 2006, the share of external trade in India's GDP stood at 24%, up from 6% in 1985.	2006 re, India aḱ GDP re External Trade reaḱ Share do 24% taekena, 1985 ren 6% aete láḱ.
Leave me alone!	Bage tań pe!
He is good at football.	Football esu bugić inuṅ etoêa.
Do you think that you can do that for us?	Ena dom paeṭi daeale lekam adaêa?
Towns are larger than villages.	Town ko Hatu ko aete maraṅa.
Stop!	Hokann me!
Everyone cries.	Saben ko raḱêa.
What are you eating?	Chenaḱpe jom tana?
The original study focused on logical reasoning, grammar, and social skills.	Original study re do logical reasoning,, grammar,, social skill chetan re focus taekena.
In South India, the Middle kingdoms exported Dravidian-languages scripts and religious cultures to the kingdoms of Southeast Asia.	South India re, Middle-kingdom ko Southeast-Asia ren kingdom ko paa te Dravidian language Script ko anḍoḱ religious Culture kokô export ket́a.
Mary let Tom know that she couldn't do that.	Mary do Tom 'ena kań paeṭi daea' -menteć chirgal ichi ket́ića.
The internal angles of an octagon total 1080°.	Octagon aḱ Bitar Angle ko reaḱ Senelt́ do 1080°.
Where are you going?	Okon teben sen tana?
The villagers rebuilt the road.	Hatu ren ko Horakô bai ruaa ket́a.
Let's get to work now.	Dolaṅ Paiṭi te.
Such children lack the basics of primary and secondary socialization.	Enkan Hon ko taḱ Primary,, Secondary Socialization reaḱ Reht́sẽa (basic knowledge) kaa taena.
A fly fell in the soup!	Soup re miat́ Roko iyuḱ eana!
The Dunning–Kruger effect is a cognitive bias in which people with limited competence in a particular domain overestimate their abilities.	Dunning-Kruger effect do, miat́ particular domain re limited competence menaḱ tan hoo ko, takoaḱ Ability kô overestimate ê teaḱ miat́ Cognitive Bias.
You are very brave.	Esu biyar Hoo ko tanape.
Mr. Harrison kept a parrot called Ginger.	Mr. Harrison do Ginger kô metać miat́ Miruć asul let́ića.
Botany is the scientific study of plants.	Botany do Siń ko reaḱ Science lekatenn Study.
Raised by primates/monkeys.	Primate/Gai ko haramaraṅ ken ko.
You are beautiful.	Esu bugim neloḱa.
Let's celebrate!	Dolabu poroṕêa!
They were imitated all over India and led to both the resurgence of Hinduism and the development of all modern languages of the subcontinent.	Ena ko goṭa India re imitate eana anḍoḱ enate Hinduism ó resurge eana anḍoḱ subcontinent ren saben modern language ko ó develop eana.
Gradually expanding rule of the British East India Company followed, turning India into a colonial economy, but also consolidating its sovereignty.	En tayom British East India Company renkoaḱ gradually-expanding-rule otoṅ hućoḱ eana, India dokô colonial-economy ket́a, enloḱ enaaḱ sovereignty ókô consolidate ket́a.
Why are you dancing?	Chenaḱ mentepe susun tana?
I have money.	Ań taḱ Puisa menaḱa.
However, gene sequences can be used to reconstruct the bacterial phylogeny, and these studies indicate that bacteria diverged first from the archaeal/eukaryotic lineage.	Enkareóge, Bacteria koaḱ Phylogeny reconstruct ê lagit́ Gene Sequence agujoṅ daeoḱa, nen Study kote do, Bacteria kodo ayar Archaea/Eukaryote Lineage aetekô chaṅ sangin eana mente inguloḱa.
She ripped his shirt open.	Aćaḱ Sutuieć oeć chachaḱ ket́a.
I think we'll get off at the next station.	Hućoḱ Station relaṅ aaguna toraṅeń menea.
Bacteria have DNA as genetic material.	Bacteria koaḱ Genetic Material lekate DNA menaḱa.
We are eating.	Jom tanale.
"The first boy (1304) was taken by wolves at age 3 and found when 7 or 8 by Benedictine monks, the wolves having cared for him by ""surrounding him in cold weather, and fed him the best meat from the hunt."""	"Ayaraḱ Koahon do (1304), 3 sirmać hoba akan re Ṭẽoḱ ko goḱ ket́ića, 7, 8 sirma lekać hoba len re, Ṭẽoḱ ko ""Rabaṅ re abarum tala ket́ić te, sangar agu let́ buginùtar Jilu ajom ket́ić"" tekô nelić taeken re Benedictine monk ko nam let́ića."
Do what is good to those who hate you.	Kaa bugipe tan koó bugiko pe.
The mountain ecosystem is characterized by high altitudes and extreme weather conditions.	Buru Ecosystem do usul Altitude anḍoḱ extreme Weather Condition te urumoḱa.
I wonder what it looks like.	Ena chilika toraṅ neloḱa.
British Crown rule began in 1858.	British Crown rule 1858 re eoṕ eana.
Why are you here?	Chenaḱ mente nentaḱ remea?
Are you afraid?	Boroê tanam?
According to official statistics, India's forest cover is 713,789 km2 (275,595 sq mi), which is 21.71% of the country's total land area.	Otesaeaḱ 34 kipilijiidann hotspot (enhasaùpânaḱ ko ge sange menaḱ loḱ significant Basapaiànat́ (habitat loss) nelnamoḱ) ko ren upunea do India re ge menaḱa.
Tom used to work for a big firm in Boston.	Tom do Boston re miat́ maraṅ Firm lagit́eć paeṭi kena.
Ziri returned to the village.	Ziri Hatuć ruaa eana.
I like tea.	Tea nú sukuńa.
Die!	Goćoḱ pe!
India accounts for the bulk of the Indian subcontinent, lying atop the Indian tectonic plate, a part of the Indo-Australian Plate.	Indo-Australian Plate aḱ miat́ part tan Indian-tectonic-plate chetan re menaḱ tan India do Indian subcontinent aḱ goṭa-noḱ-homoo (bulk) leka menaḱa.
I don't need anything.	Jahnaḱ ó kańaà.
We walked to the river.	Gaḍa taḱbu sen ket́a.
It predominates in the tropical moist forest of the Andaman Islands, the Western Ghats, and Northeast India.	Andaman Island,, Western Ghat,, Northeast India ko ren Singichirmit́odabir (tropical moist forest) ko re enkan Bir ge predominantly menaḱa.
Let's go!	Dola!
Are you a student?	Iskul tanam?
I sell magnets.	Magnet koń akarińa.
In South India, a progression to sedentary life is indicated by the large number of megalithic monuments dating from this period, as well as by nearby traces of agriculture, irrigation tanks, and craft traditions.	South India re, nen period paa te back-date akan maparaṅ sereṅ (megalithic) monument ko te anḍoḱ en daradari ren agriculture, irrigation tank ko, anḍoḱ craft-tradition ko reaḱ satareć ko te sedentary life paa ten Progression inguloḱ tana.
He was alone in the room.	Room re eskarć taekena.
I wonder why Tom won't sit next to me anymore.	Tom idu chenaḱ mente nahḱ ań japaḱ re kać duṕ baaà.
He is not at home.	Oaḱ re baṅać.
By this time, with its economic power severely curtailed by the British parliament and having effectively been made an arm of British administration, the East India Company began more consciously to enter non-economic arenas, including education, social reform, and culture.	Nen imita loḱ do, British parliament iate akôaḱ economic power curtail ean ko te anḍoḱ sari samanaṅ re do British administration aḱ miat́ tí bai ean ko te, East India Company ren ko adaan aete ge education, social reform, culture mesa keet́aḱ non-economic Area rekô bolo eana.
I run every day.	Dimsiń nirêa.
Don't go near this dog.	Nen Seta japaḱ alaben sena.
I just don't know what to say.	Kajiê teaḱ kań ada renáê tana.
While Caesar was alive the state was safe.	Caesar jivt́ akan re, State do horhoann ge taekena.
Can I help you?	Dengabenań?
At this altitude, the weather can change quickly and without warning.	Nen Altitude re, Weather do esu ã́cha change emanoḱa, anḍoḱ enaó Warning banoḱ tege.
"Thank you. ""You're welcome."""	"Thank you. ""É mar."""
"Those deemed ""unfit to reproduce"" often included people with mental or physical disabilities, people who scored in the low ranges on different IQ tests, criminals and ""sexual and social deviants"", and members of disfavored minority groups."	"Reproduction lagit́ unfit ge nel ean ko re, often do mental,, physical disability menaḱ ko ó, epeṭaḱ IQ test ko re low range re score ket́ ko ó, criminal ko,, ""sexual,, social deviant ko"" ó,, disfavor akan minority group ko ókô taekena."
Hindustan reaḱ meaning re variation tae aken gea, tisiṅaḱ north-India anḍoḱ Pakistan mesa keet́aḱ Region ó inguloḱ taekena, anḍoḱ goṭa noḱ India ó.	The meaning of Hindustan has varied, referring to a region encompassing present-day northern India and Pakistan or to India in its near entirety.
This village is mine!	Nan Hatu do ańaḱa!
In 1947 the British Indian Empire was partitioned into two independent dominions, a Hindu-majority Dominion of India and a Muslim-majority Dominion of Pakistan, amid large-scale loss of life and an unprecedented migration.	1947 re large Scale gonoć anḍoḱ unprecedented migration hoban loḱ British Indian Empire do barea independent dominion oḱge partition eana, miat́ do India, Hindu-majority Dominion, anḍoḱ miat́ do Pakistan, Muslim-majority Dominion.
It's sunny today.	Tisiṅgeć jeṭe tat́a.
In the 15th century, the Vijayanagara Empire created a long-lasting composite Hindu culture in south India.	15th-century re, Vijayanagara-Empire renko south-India re long-lasting-composite-Hindu-culture ko bai ket́a.
Is it true that both Tom and Mary want to do that?	Tom anḍoḱ Mary barhoo enakin paeṭi sanaṅ tan teaḱ do sari chi?
Don't worry. Everything is going well.	Alape uṛuḱoḱa. Sabenaḱ bugin ge sesen tana.
I just proposed a new version.	Nè ge miat́ nama Version eń propose ket́a.
I am in Rome now.	Nahḱ Rome reńa.
Do you understand me?	Ańaḱ Kajim toḱ ket́a chi kaa?
He was found by nobles who used the area as hunting grounds.	En area do Hunting Ground leka let́ Noble ko nam let́ića.
Tom, this is my brother, John.	Tom, neić Bauń John.
I am eating lunch with my sister.	Ajiń loḱ Tikinmanḍiń jom tana.
This is a book.	Nena miat́ Kitaṕ.
We walked to the river.	Gaḍa taḱlaṅ sen ket́a.
Are you winning?	Daeoḱ tanam chi?
Why did you lie?	Chenaḱ mente chakat́em kaji ket́a.
In those tales, the depiction of feral children included hunting for food, running on all fours instead of two, and not knowing language.	En story ko re Birbagehon koaḱ Depiction re, Jom nam te sangar tanaḱ, bar Kaṭa te ká otetí akan te nir tanaḱ, Jagar ká etoannaḱ ko taemesa kena.
She never saw her brother again.	Aćaḱ Bokote kać nel uraa ket́ića.
It's a Saxon village.	Ena Saxon Hatu.
Tom's awake.	Tom evn akanać.
Are you a student?	Iskul tanaben?
A pioneering and influential nationalist movement emerged, which was noted for nonviolent resistance and became the major factor in ending British rule.	Nonviolent Resistance lagit́ nutuman miat́ pioneering anḍoḱ influential nationalist Movement ooḱl eana, anḍoḱ enage British rule tuúnḍu teaḱ major factor bai eana.
Have you taken out the garbage?	Joboram onḍoṅ ket́a chi?
I'm not a doctor.	Doctor kaa tanań.
Come here.	Hućoḱ pe nente.
This village is boring.	Nen Hatu muúkuńa.
Jupiter is so large that all of the other planets in the solar system could fit inside of it.	Jupiter do, Solar System ren sanam Planet ko ena rekô sóṕ dae rená imin maraṅa.
